facet,state,concept,description
textiles,Goa,Goan Crochet and Embroidery,"Introduced during the Portuguese colonial period, crochet and embroidery became integral to Goan craftsmanship. Artisans produce a variety of items, including handkerchiefs, tablecloths, pillow covers, and bedspreads, showcasing intricate designs that blend European techniques with local aesthetics."
textiles,Goa,Altar Cloths and Liturgical Vestments,"Reflecting Goa's Christian heritage, richly embroidered altar cloths and liturgical vestments are crafted using silk or velvet. These ceremonial textiles often feature intricate designs and are integral to church rituals, symbolizing the fusion of religious art and textile craftsmanship in the region."
textiles,Goa,Traditional Goan Handloom Fabrics,"Goa's handloom industry produces a range of textiles that reflect its coastal heritage and cultural diversity. These fabrics often feature unique weaving patterns and are used in various traditional garments and household items, illustrating the state's rich weaving traditions."
textiles,Gujarat,Bandhani,"Bandhani, also known as Bandhej, is a traditional tie-dye technique practiced extensively in Gujarat. Artisans create intricate patterns by plucking the cloth into tiny bindings before dyeing, resulting in designs like dots, squares, waves, and stripes. This craft is prevalent in cities such as Jamnagar, Bhuj, and Anjar."
textiles,Gujarat,Patola,"Patola refers to the double ikat woven sarees from Patan, Gujarat. These textiles are renowned for their vibrant colors and intricate patterns, often featuring motifs inspired by folklore, nature, and geometric designs. The weaving process is highly complex, making Patola sarees highly valued."
textiles,Gujarat,Ajrakh Printing,"Ajrakh is a traditional block-printing technique that uses natural dyes to create intricate geometric and floral patterns. Predominantly practiced in the Kutch region, Ajrakh textiles are distinguished by their rich colors and symmetrical designs."
textiles,Gujarat,Mashru,"Mashru is a woven fabric that combines silk and cotton, featuring vibrant stripes or patterns. Historically, it was favored by communities that preferred non-pure silk garments, as the cotton side would be in contact with the skin while the silk side displayed a lustrous appearance."
textiles,Gujarat,Tangaliya,"Tangaliya is a 700-year-old weaving technique practiced by the Dangasia community in Gujarat. It involves creating patterns of raised dots by knotting contrasting colored threads into the warp during weaving. Traditionally, Tangaliya textiles were used as shawls and wraparound skirts by local communities."
textiles,Gujarat,Dhabla,"Dhabla is a traditional woolen textile made from coarse woolen yarns, typically in white or light grey. These thick fabrics are used as blankets and floor coverings, often featuring multicolored geometric designs or checks in colors like pink, blue, yellow, and green."
textiles,Gujarat,Kambal,"Kambal refers to fine Dhablas, usually in black or dark steel grey, featuring checks woven in red or green. These woolen textiles have fringes on both sides and are used as blankets."
textiles,Gujarat,Kutchi Embroidery,"Kutchi embroidery is known for its exquisite detailing and vibrant threadwork. This traditional craft involves the use of colorful threads, mirrors, and beads to create intricate designs on fabric, often inspired by nature and daily life."
textiles,Haryana,Phulkari,"Phulkari, meaning 'flower work,' is a traditional embroidery technique from Haryana. It involves intricate floral patterns embroidered with vibrant silk threads on coarse cotton fabric. Phulkari is commonly used to adorn dupattas, shawls, and headscarves, reflecting the region's rich cultural heritage."
textiles,Haryana,Bagh,"Bagh is a variation of Phulkari where the entire fabric is covered with dense embroidery, leaving little to no base fabric visible. The intricate designs often feature geometric patterns and are traditionally used in bridal trousseaus."
textiles,Haryana,Chope,"Chope is another form of Phulkari, typically presented to brides by their grandmothers. It features distinctive patterns and holds cultural significance in wedding ceremonies."
textiles,Haryana,Khes,"Khes is a traditional handwoven textile from Haryana, used as a bedcover or blanket. Made from coarse cotton, it features geometric patterns and is valued for its durability and warmth."
textiles,Haryana,Dhurrie,"Dhurries are handwoven flat rugs or carpets crafted in Haryana. Known for their vibrant colors and geometric designs, they serve both functional and decorative purposes in homes."
textiles,Haryana,Panja Dhurrie,"Panja Dhurrie is a specific type of dhurrie named after the 'panja' tool used in its weaving. Haryana's Panipat region is renowned for producing these dhurries, which are characterized by intricate patterns and sturdy weaves."
textiles,Haryana,Cotton Shawls,"Haryana produces handwoven cotton shawls, often featuring simple yet elegant designs. These shawls are practical for daily use and reflect the state's weaving traditions."
textiles,Himachal Pradesh,Kullu Shawl,"Renowned for their vibrant colors and intricate geometric patterns, Kullu shawls are handwoven using wool. These shawls often feature traditional motifs and are a staple of Himachali attire."
textiles,Himachal Pradesh,Chamba Rumal,"Originating from the Chamba region, the Chamba Rumal is an embroidered handkerchief that showcases detailed patterns in bright and pleasing color schemes. Historically, these were gifted during marriages and are a testament to the region's rich embroidery traditions."
textiles,Himachal Pradesh,Thapada,"Thapada is a traditional shawl characterized by wider patterns and decorations. It is woven by hand or machines and is exclusive to Himachal Pradesh, reflecting the state's unique embroidery styles."
textiles,Himachal Pradesh,Kinnauri Shawl,"Hailing from the Kinnaur district, these shawls are known for their intricate designs and vibrant colors. They often incorporate traditional Kinnauri motifs, reflecting the rich cultural heritage of the region."
textiles,Himachal Pradesh,Pattu,"Pattu is a traditional woolen fabric woven by the women of Himachal Pradesh. It is used to make garments and is known for its warmth and durability, often featuring simple yet elegant patterns."
textiles,Himachal Pradesh,Kullu Patti,"A traditional handloom fabric from the Kullu district, Kullu Patti is a coarse woolen cloth used in making local garments. It is valued for its durability and warmth, suitable for the cold climate of the region."
textiles,Himachal Pradesh,Rampur Chaddar,"Originating from the town of Rampur, the Rampur Chaddar is a handspun woolen shawl known for its fine texture and warmth. It gained popularity in the 19th century and remains a significant part of Himachal's textile heritage."
textiles,Himachal Pradesh,Luanchari,"The Luanchari is a traditional full-dress garment made up of two parts stitched together: the upper part (choli) and the lower part (lehanga). It is commonly worn by women in Himachal Pradesh, especially by the Gaddi community."
textiles,Himachal Pradesh,Kullu Cap,"A distinctive part of Himachali attire, the Kullu cap is a colorful headgear woven with wool and often adorned with vibrant patterns. It symbolizes the rich cultural identity of the Kullu region."
textiles,Himachal Pradesh,Chamba Shawl,"Woven on handlooms, Chamba shawls are known for their bright borders featuring traditional designs. They are an integral part of the local attire and reflect the weaving excellence of the Chamba region."
textiles,Jharkhand,Kuchai Silk,"Kuchai silk, produced in the Kharsawan-Kuchai region, is a traditional fabric gaining popularity both domestically and internationally. This silk is known for its unique texture and natural sheen."
textiles,Jharkhand,Bhagalpuri Silk,"Bhagalpuri silk, also known as Tussar silk, is renowned for its rich texture and natural gold sheen. It is traditionally produced in the Bhagalpur region, which lies on the border of Bihar and Jharkhand."
textiles,Jharkhand,Sohrai and Khovar Paintings on Textiles,"These traditional mural arts, practiced by tribal women, involve creating intricate designs using natural pigments. The motifs often depict animals, plants, and tribal folklore, and have been adapted onto textiles for decorative purposes."
textiles,Jharkhand,Paitkar Painting on Textiles,"Paitkar painting, one of the oldest tribal arts in India, involves creating narrative scrolls that depict stories from local folklore and mythology. These designs have been adapted onto textiles, adding a unique artistic touch."
textiles,Jharkhand,Dokra Weaving,"Dokra weaving is a traditional technique used by the tribal communities of Jharkhand, involving the creation of intricate patterns on cotton or silk fabrics using natural dyes. The designs are inspired by tribal art and nature, featuring motifs such as flowers, animals, and geometric shapes."
textiles,Jharkhand,Santhal Saree Cloth,The Santhal community produces unique saree cloth characterized by traditional patterns and motifs. These textiles are integral to the cultural attire of the Santhal tribe.
textiles,Jharkhand,Gamcha,"Gamcha is a traditional handwoven cotton towel with a checked pattern, commonly used in Jharkhand. It serves multiple purposes, including as a headscarf, towel, or loincloth, reflecting the utilitarian aspect of local textile practices."
textiles,Karnataka,Ilkal Saree,"Originating from Ilkal in the Bagalkot district, Ilkal sarees are known for their distinctive Tope Teni technique, which involves joining the body warp with the pallu warp using a series of loops. These sarees often feature traditional borders like Chikki, Gomi, and Gayatri, and are woven in bright colors such as red, maroon, and blue."
textiles,Karnataka,Mysore Silk,"Mysore Silk sarees are renowned for their purity of silk and minimalist design. Originating from Mysore, these sarees are characterized by their smooth texture and lustrous appeal, often adorned with gold zari borders and motifs."
textiles,Karnataka,Kasuti Embroidery,"Kasuti is a traditional form of folk embroidery practiced in Karnataka. This intricate art involves creating patterns inspired by architecture, flora, and fauna, using stitches like Gavanti, Murgi, Negi, and Menthi. Kasuti is commonly found on Ilkal sarees and blouses."
textiles,Karnataka,Molakalmuru Saree,"Hailing from Molakalmuru in the Chitradurga district, these silk sarees are known for their exquisite craftsmanship, featuring motifs of fruits, animals, and flowers. Molakalmuru sarees received the Geographical Indication tag in 2011."
textiles,Karnataka,Navalgund Durries,"Originating from Navalgund in the Dharwad district, these handwoven rugs, known as durries, showcase geometric designs, as well as motifs of birds and animals. They are traditionally woven by women using a vertical loom and have received the Geographical Indication tag."
textiles,Karnataka,Patteda Anchu Saree,"A traditional weave from the Gadag district, Patteda Anchu sarees are characterized by their checked patterns and contrasting borders. Historically, these cotton sarees were woven for daily wear, especially by women working in fields."
textiles,Karnataka,Guledgudda Khana,"Originating from Guledgudda in the Bagalkot district, Khana is a type of blouse material known for its unique patterns and motifs. Woven using cotton or silk, it features designs like elephants, peacocks, and geometric shapes."
textiles,Karnataka,Lambani Embroidery,"Practiced by the Lambani or Banjara community in Karnataka, this embroidery combines patchwork, appliqué, and mirror work to create vibrant patterns. Traditionally used to embellish garments, it is now also applied to accessories and home décor items."
textiles,Kerala,Kasavu Saree,"The Kasavu saree is a traditional attire of Kerala, characterized by its off-white or cream-colored fabric with a distinctive golden border known as 'kasavu.' Originally woven with pure gold threads, modern versions often use copper-coated or artificial fibers. This saree is integral to Kerala's cultural identity and is commonly worn during festivals and special occasions."
textiles,Kerala,Mundum Neriyathum,"Considered one of the oldest forms of the saree, the Mundum Neriyathum consists of two pieces: the 'mundu' (a lower garment) and the 'neriyathu' (an upper garment). Typically white or cream with colored or golden borders, this attire is traditionally worn by Malayali women, especially during cultural and religious events."
textiles,Kerala,Balaramapuram Handloom,"Originating from the Balaramapuram region, these handloom textiles are renowned for their fine cotton fabric and simplicity. They often feature a plain body with a golden or colored border, reflecting the traditional aesthetic of Kerala's weaving heritage."
textiles,Kerala,Chendamangalam Saree,"Hailing from the village of Chendamangalam, these handwoven sarees are distinguished by their puliyilakara (tamarind leaf border) and unique stripe patterns. The weaving tradition here dates back to the 16th century and has been recognized with a Geographical Indication tag."
textiles,Kerala,Kuthampully Saree,"Woven by the Devanga Chettiar community in the village of Kuthampully, these sarees are known for their off-white color with golden borders. The tradition began over 500 years ago under the patronage of the Kochi royal family and continues to be a significant part of Kerala's textile heritage."
textiles,Kerala,Kasaragod Saree,"From the northern district of Kasaragod, these sarees are known for their distinctive checkered patterns and vibrant colors. They are traditionally woven using a combination of cotton and silk threads, reflecting the region's unique weaving techniques."
textiles,Kerala,Settu Mundu,"Also known as 'Set Mundu,' this traditional attire consists of a two-piece garment similar to the Mundum Neriyathum. It is typically white with a golden border and is worn by women during festivals like Onam and Vishu."
textiles,Kerala,Kavani,"A traditional garment worn by Malayali brides, the Kavani is a two-piece attire featuring a white or cream base with a broad golden border. It holds significant cultural importance in Kerala's wedding ceremonies."
textiles,Kerala,Thiruvananthapuram Saree,"Originating from the capital city, these sarees are known for their fine weaving and subtle elegance. They often feature minimalistic designs with emphasis on the quality of the fabric and the finesse of the weave."
textiles,Kerala,Kochi Handloom,The Kochi region produces handloom textiles that are characterized by their unique blend of traditional and contemporary designs. These fabrics often incorporate motifs inspired by the region's rich history and cultural diversity.
textiles,Madhya Pradesh,Chanderi Saree,"Originating from the town of Chanderi, these sarees are renowned for their lightweight, sheer texture, and glossy transparency. Woven from silk and cotton, they often feature intricate motifs like coins, flowers, and peacocks, reflecting royal influences."
textiles,Madhya Pradesh,Maheshwari Saree,"Hailing from Maheshwar, these sarees are characterized by their reversible borders, known as 'Bugdi'. Traditionally made from pure cotton or silk, they showcase geometric patterns and stripes, embodying the elegance of Madhya Pradesh's weaving traditions."
textiles,Madhya Pradesh,Bagh Print,"Named after the village of Bagh, this hand-block printing technique utilizes natural dyes to create vibrant red and black patterns on cotton and silk fabrics. The designs often draw inspiration from traditional motifs and the region's rich heritage."
textiles,Madhya Pradesh,Batik Print,"Practiced in regions like Bhairavgarh, Batik involves a wax-resist dyeing technique to produce intricate patterns on fabrics. This art form showcases floral and geometric designs, reflecting the cultural tapestry of Madhya Pradesh."
textiles,Madhya Pradesh,Tussar Silk,"Produced in areas like Chhindwara, Tussar silk is known for its rich texture and natural gold sheen. The fabric is often handwoven and showcases tribal art forms, making it a significant part of the state's textile heritage."
textiles,Madhya Pradesh,Dabu Print,"This traditional mud-resist hand-block printing technique is used to create unique patterns on fabrics. The process involves applying a mixture of clay and resin to the fabric before dyeing, resulting in distinctive designs."
textiles,Madhya Pradesh,Nandana Print,"Originating from the Malwa region, Nandana is a form of resist printing that features indigo backgrounds with white and red motifs. The designs often include floral and geometric patterns, reflecting the local folklore."
textiles,Madhya Pradesh,Gond Painting on Fabric,"Inspired by the Gond tribal art, this involves painting intricate designs on fabrics, depicting tales from folklore and nature. The vibrant colors and detailed patterns make it a unique textile tradition of Madhya Pradesh."
textiles,Maharashtra,Paithani Saree,"Originating from Paithan in Aurangabad, the Paithani saree is renowned for its rich silk fabric and intricate zari work. Characterized by vibrant colors and elaborate pallu designs featuring motifs like peacocks, flowers, and vines, it is considered one of Maharashtra's most exquisite textiles."
textiles,Maharashtra,Himroo Fabric,"Himroo is a traditional fabric from Aurangabad, blending silk and cotton to create a luxurious texture. The weaving technique produces intricate patterns, often inspired by Persian designs, reflecting the region's historical connections."
textiles,Maharashtra,Solapur Chaddar,"Solapur, known for its textile industry, produces the famous Solapur chaddar—a cotton bedspread recognized for its unique designs and durability. These chaddars have received Geographical Indication (GI) status, underscoring their cultural significance."
textiles,Maharashtra,Mashru Fabric,"Mashru is a vibrant fabric traditionally woven in regions including Maharashtra. It features a satin finish with bright stripes or patterns, achieved by weaving silk and cotton together, resulting in a glossy surface with a comfortable cotton backing."
textiles,Maharashtra,Khun Fabric,"Khun is a traditional fabric characterized by its unique patterns and textures, often used in blouses and borders of sarees. Woven with a combination of silk and cotton, it showcases intricate designs and is popular in rural Maharashtra."
textiles,Maharashtra,Ganga-Jamuna Sari,"The Ganga-Jamuna sari is distinguished by its dual-colored borders, representing the confluence of the Ganga and Yamuna rivers. This traditional Maharashtrian sari features plain weaving with solid colors on either side, allowing it to be worn reversibly."
textiles,Maharashtra,Kolhapuri Sari,"Hailing from Kolhapur, these saris are known for their distinctive weaving patterns and vibrant colors. They often feature traditional motifs and are woven using techniques unique to the region, reflecting the rich cultural heritage of Maharashtra."
textiles,Maharashtra,Narayan Peth Sari,"Originating from the town of Narayan Peth, these saris are characterized by their contrasting borders and intricate motifs. Traditionally woven in silk, they hold a special place in Maharashtrian culture and are often worn during festive occasions."
textiles,Maharashtra,Ilkal Sari,"While primarily associated with Karnataka, Ilkal saris are also woven in bordering regions of Maharashtra. They are known for their distinctive red borders and pallu, with traditional patterns and a characteristic weaving technique."
textiles,Maharashtra,Chanderi Sari,"Chanderi saris, though originating from Madhya Pradesh, have influenced weaving traditions in Maharashtra. They are known for their lightweight texture, glossy transparency, and intricate motifs, often featuring traditional designs."
textiles,Manipur,Phanek,"The Phanek is a traditional wrap-around skirt worn by Meitei women. It is typically handwoven with vibrant colors and patterns, reflecting the cultural identity of the Meitei community."
textiles,Manipur,Moirang Phee,"Moirang Phee is a traditional textile featuring the 'Moirang Pheejin' design, characterized by a series of triangular motifs along the border, symbolizing the teeth of the Pakhangba serpent. It is woven from cotton or silk and holds cultural significance in Manipur."
textiles,Manipur,Leirum Phee,"Leirum Phee is a traditional handwoven textile, often used as a muffler or stole. It features distinctive red and black patterns on a white base and plays a significant role in Meitei marriage ceremonies."
textiles,Manipur,Shaphee Lanphee,"Shaphee Lanphee is a traditional embroidered textile, historically presented as a shawl to honor warriors and chiefs. It features intricate motifs such as animals, celestial bodies, and traditional symbols, embroidered on a black or red base."
textiles,Manipur,Wangkhei Phee,"Wangkhei Phee is a fine white cotton textile, known for its transparent texture and intricate designs. Traditionally woven for the royalty, it is now popular during marriage ceremonies and festive occasions."
textiles,Manipur,Tribal Shawls,"Various tribal communities in Manipur, such as the Tangkhul, Mao, and Paite, weave distinctive shawls featuring unique patterns and motifs that represent their cultural heritage and social status."
textiles,Manipur,Lasingphee,"Lasingphee is a traditional quilt made by stitching together layers of fabric, often featuring vibrant colors and patterns. It is used for warmth and holds cultural significance in Manipuri households."
textiles,Manipur,Khamen Chatpa,"Khamen Chatpa is a traditional silk cloth, characterized by its white base with purple patterns. Historically, it was worn by male royalty and individuals of high rank."
textiles,Meghalaya,Ryndia (Eri Silk),"Ryndia, locally known as Eri silk, is a hand-spun and hand-woven fabric produced from the domesticated silkworm Samia ricini. Celebrated for its eco-friendly production, Ryndia is traditionally woven by the tribes of Meghalaya and is often used to create shawls and garments."
textiles,Meghalaya,Dakmanda,"The Dakmanda is a traditional garment of the Garo women, resembling a wrap-around skirt. Woven from raw cotton, it features symmetrical designs and is an integral part of Garo attire."
textiles,Meghalaya,Khneng Embroidery,"Khneng is a traditional embroidery technique practiced in Meghalaya, characterized by intricate patterns stitched onto Eri silk fabrics. This art form is unique to the region and adds a distinctive aesthetic to the textiles."
textiles,Meghalaya,Thoh Shiliang,"Thoh Shiliang is a traditional shawl worn over one shoulder, crafted from fine hand-spun Eri silk. It often features natural dyes and showcases the weaving skills of the local artisans."
textiles,Meghalaya,Samserla,"The Samserla is a traditional wrap-around garment worn above the bust, made from hand-spun cotton and naturally dyed using indigo and local leaves. It reflects the traditional attire of the region."
textiles,Meghalaya,Chappang,"Chappang is a traditional garment pinned on one shoulder, woven from fine hand-spun Eri silk. It features natural dyes and intricate weaving patterns, highlighting the craftsmanship of Meghalaya's weavers."
textiles,Meghalaya,Jainsem,"The Jainsem is a traditional Khasi female dress consisting of two pieces of material fastened at each shoulder, giving the body a cylindrical shape. It is often made from hand-woven fabrics and reflects the cultural attire of the Khasi women."
textiles,Meghalaya,Dhara,"The Dhara is a traditional Khasi female dress, consisting of a single piece of material fastened at each shoulder. It is often made from hand-woven fabrics and is worn during ceremonial occasions."
textiles,Mizoram,Puan,"The Puan is a traditional garment central to Mizo culture, typically measuring about 45 to 48 inches in width and 36 inches in length. Worn by Mizo women, Puans are handwoven on loin-looms and feature intricate patterns and vibrant colors that reflect tribal motifs and local folklore."
textiles,Mizoram,Puanchei,"Puanchei is a specific type of Puan, considered the most intricate and colorful among Mizo textiles. It is traditionally worn by women during festive occasions and dances, showcasing elaborate designs that highlight the weaver's craftsmanship."
textiles,Mizoram,Tawlhlohpuan,"Tawlhlohpuan is a durable and compactly woven textile, known for its bold patterns. Historically, it was worn by warriors and signifies courage and valor. Today, it remains a symbol of strength in Mizo culture."
textiles,Mizoram,Pawndum,"Pawndum is a traditional Mizo textile characterized by black, red, and white stripes. It holds cultural significance and is often used during important ceremonies and rituals."
textiles,Mizoram,Ngotekherh,"Ngotekherh is a traditional Mizo textile featuring black and white stripes, often worn during festivals and ceremonies. It holds cultural significance and is recognized for its unique design."
textiles,Mizoram,Hmaram,"Hmaram is a traditional textile of the Hmar tribe in Mizoram, known for its distinctive patterns and vibrant colors. It is used in various cultural ceremonies and reflects the rich heritage of the Hmar community."
textiles,Mizoram,Loin Loom Weaving,"Loin loom weaving is a traditional method practiced by Mizo women, involving a backstrap loom that allows for intricate designs. This technique is integral to creating various traditional textiles, including Puans, and showcases the artisans' skill and creativity."
textiles,Nagaland,Tsüngkotepsü,"A traditional warrior shawl of the Ao Naga tribe, the Tsüngkotepsü is characterized by its black and red stripes with a central white band featuring intricate motifs such as the sun, moon, stars, and animals like the mithun and hornbill. Historically, it was worn by warriors who had taken enemy heads, symbolizing valor and accomplishment."
textiles,Nagaland,Rengma Shawl,"The Rengma Naga tribe's traditional attire includes shawls like the Rhikho, a white cloth with narrow black bands, and the Alungtsu, designated for well-to-do men. Specific shawls, such as the Teri Phiketsu, are reserved for individuals who have performed headhunting ceremonies, indicating their status within the tribe."
textiles,Nagaland,Loin Loom Weaving,"A prevalent technique among Naga tribes, loin loom weaving involves a simple backstrap loom that allows artisans to create narrow strips of fabric. These strips are often stitched together to form larger textiles, including shawls and garments, each featuring distinct tribal patterns and colors."
textiles,Nagaland,Angami Lohe Shawl,"The Angami Naga tribe's Lohe shawl is distinguished by its thick embroidered animal motifs, often depicting symbols of valor and prosperity. The intricate designs and vibrant colors make it a significant part of the Angami cultural attire."
textiles,Nagaland,Chakhesang Shawl,"The Chakhesang Naga shawl has been granted a Geographical Indication (GI) tag, recognizing its unique patterns and traditional significance. The shawl features intricate designs and is an integral part of the Chakhesang tribe's heritage."
